(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(24227, 9, 5);[8, 10, 300, 40, 5];המשיח;5904;(35, 12, 12, 2, 5904);המחכה;3;(35, 12, 12, 7, 24227);אשרי המחכה ויגיע לימים אלף שלש מאות שלשים וחמשה
(1883, 2, 4);[70, 6, 300, 10];ישוע;440;(35, 2, 10, 1, 440);ענו;1;(35, 2, 10, 1, 1883);ענו כשדיא  קדם מלכא ואמרין לא איתי אנש על יבשתא די מלת מלכא יוכל להחויה כל קבל די כל מלך רב ושליט מלה כדנה לא שאל לכל חרטם ואשף וכשדי
(24163, 3, 4);[70, 6, 300, 10];ישוע;5890;(35, 12, 10, 10, 5890);רשעים;3;(35, 12, 10, 48, 24163);יתבררו ויתלבנו ויצרפו רבים והרשיעו רשעים ולא יבינו כל רשעים והמשכלים יבינו
(22353, 11, 4);[70, 6, 300, 10];ישוע;5453;(35, 11, 24, 8, 5453);עשו;1;(35, 11, 24, 31, 22353);בשלוה ובמשמני מדינה יבוא ועשה אשר לא עשו אבתיו ואבות אבתיו בזה ושלל ורכוש להם יבזור ועל מבצרים יחשב מחשבתיו ועד עת
(23591, 11, 4);[70, 6, 300, 10];ישוע;5749;(35, 12, 1, 7, 5749);העמד;2;(35, 12, 1, 27, 23591);ובעת ההיא יעמד מיכאל השר הגדול העמד על בני עמך והיתה עת צרה אשר לא נהיתה מהיות גוי עד העת ההיא ובעת ההיא ימלט עמך כל הנמצא כתוב בספר
(13068, 13, 4);[70, 6, 300, 10];ישוע;3187;(35, 6, 15, 5, 3187);שמע;3;(35, 6, 15, 18, 13068);אדין מלכא כדי מלתא שמע שגיא באש עלוהי ועל דניאל שם בל לשיזבותה ועד מעלי שמשא הוא משתדר להצלותה
(14040, 15, 4);[70, 6, 300, 10];ישוע;3430;(35, 6, 27, 28, 3430);עד;1;(35, 6, 27, 103, 14040);מן קדמי שים טעם די בכל שלטן מלכותי להון זאעין  ודחלין מן קדם אלהה די דניאל די הוא אלהא חיא וקים לעלמין ומלכותה די לא תתחבל ושלטנה עד סופא
(15695, 15, 4);[70, 6, 300, 10];ישוע;3842;(35, 7, 22, 9, 3842);עליונין;1;(35, 7, 22, 31, 15695);עד די אתה עתיק יומיא ודינא יהב לקדישי עליונין וזמנא מטה ומלכותא החסנו קדישין
(8885, 19, 4);[70, 6, 300, 10];ישוע;2166;(35, 4, 23, 4, 2166);עקר;1;(35, 4, 23, 13, 8885);ודי אמרו למשבק עקר שרשוהי די אילנא מלכותך לך קימה מן די תנדע די שלטן שמיא
(15998, 19, 4);[70, 6, 300, 10];ישוע;3907;(35, 7, 26, 7, 3907);עד;1;(35, 7, 26, 34, 15998);ודינא יתב ושלטנה יהעדון להשמדה ולהובדה עד סופא
