(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(356572, 3, 5);[8, 10, 300, 40, 5];המשיח;93092;(7, 7, 11, 15, 93092);החמשים;2;(7, 7, 11, 58, 356572);ושמעת מה ידברו ואחר תחזקנה ידיך וירדת במחנה וירד הוא ופרה נערו אל קצה החמשים אשר במחנה
(553823, 3, 5);[8, 10, 300, 40, 5];המשיח;144061;(11, 15, 2, 7, 144061);וחמשים;2;(11, 15, 2, 21, 553823);בן שש עשרה שנה היה במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכליהו מירושלם
(555283, 3, 5);[8, 10, 300, 40, 5];המשיח;144440;(11, 15, 27, 2, 144440);חמשים;1;(11, 15, 27, 5, 555283);בשנת חמשים ושתים שנה לעזריה מלך יהודה מלך פקח בן רמליהו על ישראל בשמרון עשרים שנה
(1177610, 3, 5);[8, 10, 300, 40, 5];המשיח;300937;(39, 26, 3, 7, 300937);וחמשים;2;(39, 26, 3, 23, 1177610);בן שש עשרה שנה עזיהו במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכיליה  מן ירושלם
(1190751, 3, 5);[8, 10, 300, 40, 5];המשיח;304014;(39, 33, 19, 21, 304014);חוזי;1;(39, 33, 19, 90, 1190751);ותפלתו והעתר לו וכל חטאתו ומעלו והמקמות אשר בנה בהם במות והעמיד האשרים והפסלים לפני הכנעו הנם כתובים על דברי חוזי
(1191275, 3, 5);[8, 10, 300, 40, 5];המשיח;304136;(39, 34, 4, 6, 304136);והחמנים;3;(39, 34, 4, 28, 1191275);וינתצו לפניו את מזבחות הבעלים והחמנים אשר למעלה מעליהם גדע והאשרים והפסלים והמסכות שבר והדק ויזרק על פני הקברים הזבחים להם
(232760, 5, 5);[8, 10, 300, 40, 5];המשיח;61348;(4, 26, 38, 11, 61348);משפחת;4;(4, 26, 38, 55, 232760);בני בנימן למשפחתם לבלע משפחת הבלעי לאשבל משפחת האשבלי לאחירם משפחת האחירמי
(805687, 7, 5);[8, 10, 300, 40, 5];המשיח;208106;(15, 6, 2, 1, 208106);יחינו;2;(15, 6, 2, 2, 805687);יחינו מימים ביום השלישי יקמנו ונחיה לפניו
(1059223, 9, 5);[8, 10, 300, 40, 5];המשיח;272358;(35, 12, 12, 2, 272358);המחכה;3;(35, 12, 12, 7, 1059223);אשרי המחכה ויגיע לימים אלף שלש מאות שלשים וחמשה
(33238, 10, 5);[8, 10, 300, 40, 5];המשיח;8860;(1, 25, 9, 14, 8860);החתי;2;(1, 25, 9, 52, 33238);ויקברו אתו יצחק וישמעאל בניו אל מערת המכפלה אל שדה עפרן בן צחר החתי אשר על פני ממרא
(48533, 10, 5);[8, 10, 300, 40, 5];המשיח;12925;(1, 33, 7, 5, 12925);וישתחוו;5;(1, 33, 7, 20, 48533);ותגש גם לאה וילדיה וישתחוו ואחר נגש יוסף ורחל וישתחוו
(348268, 11, 5);[8, 10, 300, 40, 5];המשיח;90951;(7, 3, 2, 8, 90951);מלחמה;3;(7, 3, 2, 29, 348268);רק למען דעת דרות בני ישראל ללמדם מלחמה רק אשר לפנים לא ידעום
(358641, 11, 5);[8, 10, 300, 40, 5];המשיח;93603;(7, 8, 15, 14, 93603);זבח;3;(7, 8, 15, 53, 358641);ויבא אל אנשי סכות ויאמר הנה זבח וצלמנע אשר חרפתם אותי לאמר הכף זבח וצלמנע עתה בידך כי נתן לאנשיך היעפים לחם
(376714, 11, 5);[8, 10, 300, 40, 5];המשיח;98190;(7, 18, 27, 18, 98190);ובטח;4;(7, 18, 27, 56, 376714);והמה לקחו את אשר עשה מיכה ואת הכהן אשר היה לו ויבאו על ליש על עם שקט ובטח ויכו אותם לפי חרב ואת העיר שרפו באש
