(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(7822, 4, 4);[10, 300, 6, 70];ישוע;1905;(35, 4, 10, 4, 1905);ראשי;4;(35, 4, 10, 16, 7822);חזה הוית בחזוי ראשי על משכבי ואלו עיר וקדיש מן שמיא נחת
(19880, 4, 4);[10, 300, 6, 70];ישוע;4839;(35, 10, 4, 1, 4839);וביום;3;(35, 10, 4, 3, 19880);וביום עשרים וארבעה לחדש הראשון ואני הייתי על יד הנהר הגדול הוא חדקל
(11628, 5, 4);[10, 300, 6, 70];ישוע;2826;(35, 5, 23, 26, 2826);חזין;3;(35, 5, 23, 115, 11628);ועל מרא שמיא התרוממת ולמאניא די ביתה היתיו קדמיך  ואנתה  ורברבניך  שגלתך ולחנתך חמרא שתין בהון ולאלהי כספא ודהבא נחשא פרזלא אעא ואבנא די לא חזין ולא שמעין ולא ידעין שבחת ולאלהא די נשמתך בידה וכל ארחתך לה לא הדרת
(2546, 8, 4);[10, 300, 6, 70];ישוע;612;(35, 2, 20, 18, 612);היא;2;(35, 2, 20, 62, 2546);ענה דניאל ואמר להוא שמה די אלהא מברך מן עלמא ועד עלמא די חכמתא וגבורתא די לה היא
(15159, 8, 4);[10, 300, 6, 70];ישוע;3708;(35, 7, 13, 18, 3708);הקרבוהי;7;(35, 7, 13, 72, 15159);חזה הוית בחזוי ליליא וארו עם ענני שמיא כבר אנש אתה הוה ועד עתיק יומיא מטה וקדמוהי הקרבוהי
(23074, 10, 4);[10, 300, 6, 70];ישוע;5626;(35, 11, 37, 5, 5626);יבין;3;(35, 11, 37, 17, 23074);ועל אלהי אבתיו לא יבין ועל חמדת נשים ועל כל אלוה לא יבין כי על כל יתגדל
(16620, 13, 4);[10, 300, 6, 70];ישוע;4054;(35, 8, 7, 6, 4054);אליו;3;(35, 8, 7, 28, 16620);וראיתיו מגיע אצל האיל ויתמרמר אליו ויך את האיל וישבר את שתי קרניו ולא היה כח באיל לעמד לפניו וישליכהו ארצה וירמסהו ולא היה מציל לאיל מידו
(23532, 14, 4);[10, 300, 6, 70];ישוע;5732;(35, 11, 45, 4, 5732);בין;2;(35, 11, 45, 15, 23532);ויטע אהלי אפדנו בין ימים להר צבי קדש ובא עד קצו ואין עוזר לו
(7765, 23, 4);[10, 300, 6, 70];ישוע;1892;(35, 4, 9, 10, 1892);חיות;2;(35, 4, 9, 40, 7765);עפיה שפיר ואנבה שגיא ומזון לכלא בה תחתוהי תטלל חיות ברא ובענפוהי ידרון  צפרי שמיא ומנה יתזין כל בשרא
(9416, 23, 4);[10, 300, 6, 70];ישוע;2301;(35, 4, 31, 9, 2301);עלי;3;(35, 4, 31, 43, 9416);ולקצת יומיה אנה נבוכדנצר עיני לשמיא נטלת ומנדעי עלי יתוב ולעליא  ברכת ולחי עלמא שבחת והדרת די שלטנה שלטן עלם ומלכותה עם דר ודר
(16236, 23, 4);[10, 300, 6, 70];ישוע;3961;(35, 8, 2, 3, 3961);ויהי;2;(35, 8, 2, 12, 16236);ואראה בחזון ויהי בראתי ואני בשושן הבירה אשר בעילם המדינה ואראה בחזון ואני הייתי על אובל אולי
(23913, 26, 4);[10, 300, 6, 70];ישוע;5828;(35, 12, 6, 8, 5828);היאר;2;(35, 12, 6, 32, 23913);ויאמר לאיש לבוש הבדים אשר ממעל למימי היאר עד מתי קץ הפלאות
(15894, 29, 4);[10, 300, 6, 70];ישוע;3886;(35, 7, 25, 4, 3886);ימלל;1;(35, 7, 25, 13, 15894);ומלין לצד עליא  ימלל ולקדישי עליונין יבלא ויסבר להשניה זמנין ודת ויתיהבון בידה עד עדן ועדנין ופלג עדן
(16602, 36, 4);[10, 300, 6, 70];ישוע;4050;(35, 8, 7, 2, 4050);מגיע;3;(35, 8, 7, 10, 16602);וראיתיו מגיע אצל האיל ויתמרמר אליו ויך את האיל וישבר את שתי קרניו ולא היה כח באיל לעמד לפניו וישליכהו ארצה וירמסהו ולא היה מציל לאיל מידו
(7085, 42, 4);[10, 300, 6, 70];ישוע;1728;(35, 3, 29, 28, 1728);איתי;4;(35, 3, 29, 95, 7085);ומני שים טעם די כל עם אמה ולשן די יאמר שלה  על אלההון די שדרך מישך ועבד נגוא הדמין יתעבד וביתה נולי ישתוה כל קבל די לא איתי אלה אחרן די יכל להצלה כדנה
(19910, 43, 4);[10, 300, 6, 70];ישוע;4845;(35, 10, 4, 7, 4845);הייתי;3;(35, 10, 4, 33, 19910);וביום עשרים וארבעה לחדש הראשון ואני הייתי על יד הנהר הגדול הוא חדקל
(21515, 46, 4);[10, 300, 6, 70];ישוע;5250;(35, 11, 8, 11, 5250);יבא;1;(35, 11, 8, 39, 21515);וגם אלהיהם עם נסכיהם עם כלי חמדתם כסף וזהב בשבי יבא מצרים והוא שנים יעמד ממלך הצפון
(9079, 52, 4);[10, 300, 6, 70];ישוע;2218;(35, 4, 27, 9, 2218);די;2;(35, 4, 27, 28, 9079);ענה מלכא ואמר הלא דא היא בבל רבתא די אנה בניתה לבית מלכו בתקף חסני וליקר הדרי
(7882, 54, 4);[10, 300, 6, 70];ישוע;1921;(35, 4, 11, 8, 1921);ענפוהי;6;(35, 4, 11, 32, 7882);קרא בחיל וכן אמר גדו אילנא וקצצו ענפוהי אתרו עפיה ובדרו אנבה תנד חיותא מן תחתוהי וצפריא מן ענפוהי
(15740, 55, 4);[10, 300, 6, 70];ישוע;3851;(35, 7, 23, 4, 3851);רביעיתא;3;(35, 7, 23, 13, 15740);כן אמר חיותא רביעיתא מלכו רביעיא  תהוא בארעא די תשנא מן כל מלכותא ותאכל כל ארעא ותדושנה ותדקנה
(20040, 55, 4);[10, 300, 6, 70];ישוע;4875;(35, 10, 6, 11, 4875);כעין;3;(35, 10, 6, 57, 20040);וגויתו כתרשיש ופניו כמראה ברק ועיניו כלפידי אש וזרעתיו ומרגלתיו כעין נחשת קלל וקול דבריו כקול המון
(19643, 56, 4);[10, 300, 6, 70];ישוע;4777;(35, 9, 27, 8, 4777);ישבית;1;(35, 9, 27, 32, 19643);והגביר ברית לרבים שבוע אחד וחצי השבוע ישבית זבח ומנחה ועל כנף שקוצים משמם ועד כלה ונחרצה תתך על שמם
(21667, 56, 4);[10, 300, 6, 70];ישוע;5287;(35, 11, 11, 10, 5287);והעמיד;5;(35, 11, 11, 41, 21667);ויתמרמר מלך הנגב ויצא ונלחם עמו עם מלך הצפון והעמיד המון רב ונתן ההמון בידו
(18361, 60, 4);[10, 300, 6, 70];ישוע;4465;(35, 9, 10, 12, 4465);עבדיו;4;(35, 9, 10, 52, 18361);ולא שמענו בקול יהוה אלהינו ללכת בתורתיו אשר נתן לפנינו ביד עבדיו הנביאים
